country,country_code,dhs_phase,sex,year,n_sti_respondents,n_sought_treatment,pct_sought_treatment_unweighted,pct_sought_treatment_weighted
Rwanda,RW,7,female,2014,558,276,49.5,49
Rwanda,RW,7,male,2014,78,49,62.8,61.6
Togo,TG,6,female,2014,900,468,52,52.3
Togo,TG,6,male,2014,60,39,65,67
Zambia,ZM,6,female,2014,209,158,75.6,72.9
Zambia,ZM,6,male,2014,215,170,79.1,80.6
Angola,AO,7,female,2015,920,540,58.7,65.8
Angola,AO,7,male,2015,213,122,57.3,60.2
Chad,TD,7,female,2015,325,111,34.2,39.4
Chad,TD,7,male,2015,42,33,78.6,76.4
Malawi,MW,7,female,2015,1978,1063,53.7,51.4
Malawi,MW,7,male,2015,376,173,46,45.1
Mozambique,MZ,7,female,2015,553,443,80.1,78.7
Mozambique,MZ,7,male,2015,335,290,86.6,85.3
Rwanda,RW,7,female,2015,857,537,62.7,63.1
Rwanda,RW,7,male,2015,139,85,61.2,63.3
Senegal,SN,7,female,2015,1231,545,44.3,46
Senegal,SN,7,male,2015,61,25,41,62.9
Zimbabwe,ZW,7,female,2015,676,357,52.8,51.9
Zimbabwe,ZW,7,male,2015,550,249,45.3,44.7
Angola,AO,7,female,2016,617,320,51.9,54.5
Angola,AO,7,male,2016,189,99,52.4,66.3
Burundi,BU,7,female,2016,753,435,57.8,56.7
Burundi,BU,7,male,2016,153,82,53.6,52
Malawi,MW,7,female,2016,879,487,55.4,52.8
Malawi,MW,7,male,2016,153,94,61.4,59.2
South Africa,ZA,7,female,2016,952,679,71.3,70.1
South Africa,ZA,7,male,2016,233,154,66.1,62.6
Uganda,UG,7,female,2016,3736,2677,71.7,73.9
Uganda,UG,7,male,2016,602,380,63.1,66.1
Benin,BJ,7,female,2017,535,211,39.4,40.2
Benin,BJ,7,male,2017,178,89,50,52.8
Burundi,BU,7,female,2017,522,319,61.1,57.7
Burundi,BU,7,male,2017,116,61,52.6,50.6
Senegal,SN,7,female,2017,1933,911,47.1,52.5
Senegal,SN,7,male,2017,61,28,45.9,43.3
Benin,BJ,7,female,2018,585,230,39.3,37.5
Benin,BJ,7,male,2018,113,62,54.9,54.4
Cameroon,CM,7,female,2018,2143,1196,55.8,56.9
Cameroon,CM,7,male,2018,597,301,50.4,50.2
Guinea,GN,7,female,2018,3056,2181,71.4,72.8
Guinea,GN,7,male,2018,327,208,63.6,64.1
Mali,ML,7,female,2018,2793,1564,56,58.5
Mali,ML,7,male,2018,174,94,54,55.4
Nigeria,NG,7,female,2018,5156,2799,54.3,55.7
Nigeria,NG,7,male,2018,692,339,49,45.8
Zambia,ZM,7,female,2018,612,389,63.6,63.1
Zambia,ZM,7,male,2018,695,504,72.5,72.7
Cameroon,CM,7,female,2019,3,3,100,100
Cameroon,CM,7,male,2019,3,2,66.7,75.8
Gabon,GA,7,female,2019,98,70,71.4,73.9
Gabon,GA,7,male,2019,87,61,70.1,71.6
Gambia,GM,8,female,2019,261,188,72,71.9
Gambia,GM,8,male,2019,42,24,57.1,62.5
Liberia,LB,7,female,2019,1895,1589,83.9,85.1
Liberia,LB,7,male,2019,389,314,80.7,78.2
Mauritania,MR,7,female,2019,664,247,37.2,37.6
Mauritania,MR,7,male,2019,42,14,33.3,35.9
Rwanda,RW,8,female,2019,363,240,66.1,65.5
Rwanda,RW,8,male,2019,70,38,54.3,52.3
Sierra Leone,SL,7,female,2019,2994,2209,73.8,74.2
Sierra Leone,SL,7,male,2019,827,615,74.4,74.9
Zambia,ZM,7,female,2019,16,11,68.8,70.8
Zambia,ZM,7,male,2019,11,7,63.6,67.4
Gabon,GA,7,female,2020,477,289,60.6,60.9
Gabon,GA,7,male,2020,285,177,62.1,60
Gambia,GM,8,female,2020,824,508,61.7,65.8
Gambia,GM,8,male,2020,126,73,57.9,55.8
Liberia,LB,7,female,2020,1529,1269,83,83.2
Liberia,LB,7,male,2020,333,281,84.4,84
Mauritania,MR,7,female,2020,1709,638,37.3,35.1
Mauritania,MR,7,male,2020,70,17,24.3,24.8
Rwanda,RW,8,female,2020,1033,713,69,68.3
Rwanda,RW,8,male,2020,224,153,68.3,68.8
Burkina Faso,BF,8,female,2021,0,0,,
Burkina Faso,BF,8,male,2021,0,0,,
Cote d'Ivoire,CI,8,female,2021,0,0,,
Cote d'Ivoire,CI,8,male,2021,0,0,,
Gabon,GA,7,female,2021,458,277,60.5,71.5
Gabon,GA,7,male,2021,149,110,73.8,83.6
Madagascar,MD,8,female,2021,1111,642,57.8,57.8
Madagascar,MD,8,male,2021,423,330,78,77.7
Mauritania,MR,7,female,2021,395,210,53.2,54.3
Mauritania,MR,7,male,2021,30,8,26.7,23.7
Ghana,GH,8,female,2022,0,0,,
Ghana,GH,8,male,2022,0,0,,
Kenya,KE,8,female,2022,0,0,,
Kenya,KE,8,male,2022,0,0,,
Mozambique,MZ,8,female,2022,0,0,,
Mozambique,MZ,8,male,2022,0,0,,
Tanzania,TZ,8,female,2022,0,0,,
Tanzania,TZ,8,male,2022,0,0,,
Angola,AO,8,female,2023,0,0,,
Angola,AO,8,male,2023,0,0,,
DRC,CD,8,female,2023,0,0,,
DRC,CD,8,male,2023,0,0,,
Ghana,GH,8,female,2023,0,0,,
Ghana,GH,8,male,2023,0,0,,
Lesotho,LS,8,female,2023,0,0,,
Lesotho,LS,8,male,2023,0,0,,
Mali,ML,8,female,2023,0,0,,
Mali,ML,8,male,2023,0,0,,
Mozambique,MZ,8,female,2023,0,0,,
Mozambique,MZ,8,male,2023,0,0,,
Nigeria,NG,8,female,2023,1050,712,67.8,66.7
Nigeria,NG,8,male,2023,158,105,66.5,68.1
Senegal,SN,8,female,2023,0,0,,
Senegal,SN,8,male,2023,0,0,,
Angola,AO,8,female,2024,0,0,,
Angola,AO,8,male,2024,0,0,,
DRC,CD,8,female,2024,0,0,,
DRC,CD,8,male,2024,0,0,,
Lesotho,LS,8,female,2024,0,0,,
Lesotho,LS,8,male,2024,0,0,,
Malawi,MW,8,female,2024,0,0,,
Malawi,MW,8,male,2024,0,0,,
Mali,ML,8,female,2024,0,0,,
Mali,ML,8,male,2024,0,0,,
Nigeria,NG,8,female,2024,6302,3793,60.2,58.7
Nigeria,NG,8,male,2024,954,753,78.9,81
Zambia,ZM,8,female,2024,0,0,,
Zambia,ZM,8,male,2024,0,0,,
